Altersgruppe;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13
Gesamt;32.69;20.87;14.88;8.9499999999999993;7.5;5.73;4.34;3.85;2.83;2.82;4.96;3.86;3.24;2.92;3.63;4.72;5.8;7.28;9.56;11.53;10.61;10.36;11.75;14.78;15.71;19.16;31.42;50.61;89.98;133.59;151.28;153.75;154.47;148.25;154.52000000000001;188.21;210.34;167.41;148.13999999999999;174.94;143.1;114.93;94.08;77.760000000000005;61.17;63.15;67.930000000000007;70.36;85.92;111.56;140.24;130.75
90+;151.02000000000001;103.03;70.59;34.630000000000003;25.27;17.37;12.51;8.75;5.0999999999999996;5.59;4.5;3.4;2.92;1.82;3.28;2.0699999999999998;4.74;3.4;3.04;2.19;3.52;2.92;5.47;8.99;11.42;14.34;22.36;53.22;107.53;178.12;209.59;281.51;373.37;426.95;508.6;657.44;726.57;638.6;604.70000000000005;658.29;612.24;479.19;350.16;235.35;158.31;130.25;101.33;74.72;74.36;78.73;81.400000000000006;76.790000000000006
85 - 89;91.12;59.15;43.55;20.85;16.82;11.45;8.1199999999999992;5.44;3.26;3.26;3.01;2.11;1.79;1.28;1.53;2.17;2.62;2.56;3.58;1.47;2.11;1.6;5.44;6.59;7.74;10.55;19.57;36.83;73.28;114.21;146.44;180.9;215.63;261.92;294.08999999999997;379.01;444.24;374.79;357.52;388.79;355.16;284.82;212.49;164.98;105.9;93.75;77.12;61.45;60.05;71.36;80.83;74.88
80 - 84;52.06;35.85;24.95;13.72;9.11;7.47;4.6399999999999997;3.4;2.31;1.88;1.88;1.55;1.49;1.0900000000000001;1.1499999999999999;1.55;2.73;2.09;2.46;1.94;1.52;1.82;4.04;5.92;6.44;9.59;14.27;26.01;55.76;86.18;104.21;115.56;132.32;145.16;165.44;215.22;251.28;225.82;208.66;232.77;203.02;161.72999999999999;127.16;95.62;69.849999999999994;60.8;54.06;47.11;49.9;54.82;64.930000000000007;57.49
75 - 79;33.950000000000003;22.03;15.14;9.0500000000000007;7.07;4.54;2.71;2.12;1.5;1.19;1.68;1.47;1.03;1.03;1.1399999999999999;1.47;1.83;1.42;1.83;1.73;1.78;1.93;3.79;4.67;5.98;8;12.98;23.29;41.95;68.39;78.73;84.87;87.35;90.16;102.62;128.91;153.47;132.08000000000001;119.8;134.74;111.49;87.99;72.930000000000007;57.06;43.8;44.29;40.840000000000003;35.24;37.119999999999997;48.89;57.42;55.18
70 - 74;28.55;17.170000000000002;11.54;7.48;5.63;3.51;2.5299999999999998;2.1800000000000002;1.28;1.0900000000000001;1.58;1.0900000000000001;1.01;1.52;1.69;1.71;2.42;2.48;2.15;2.61;2.5;2.89;4.1100000000000003;7.05;7.21;9.5;15.98;25.42;48.99;78.41;86.61;89.79;91.34;87.01;94.85;119.49;140.74;121.2;112.63;131.35;99.64;83.39;67.58;56.18;42.98;43.47;44.85;42.46;49.24;64.91;77.540000000000006;77.3
65 - 69;22.99;13.62;10.37;5.47;4.28;3;2.5299999999999998;2.1800000000000002;1.23;1.05;1.42;1.36;1.28;1.28;1.46;1.75;1.77;2.4900000000000002;2.2599999999999998;2.4900000000000002;2.68;2.61;4.63;5.97;6.28;9.2799999999999994;14.1;26.43;46.66;73.12;87.63;82.63;85.45;85.24;84.87;106.54;130.75;115.06;102.49;117.7;90.86;74.62;64.349999999999994;52.17;39.53;42.13;43.79;41.1;47.27;65.84;80.510000000000005;79.790000000000006
60 - 64;31.73;19.23;11.93;7.17;5.88;4.25;3.1;2.96;1.88;1.61;2.16;1.89;1.97;1.65;1.95;2.69;2.69;3.61;3.4;4.2;4.32;4.3899999999999997;5.98;8.7100000000000009;9.6;12.06;22.5;37.54;70.12;106.17;121.61;122.44;129.41;123.96;135.49;167.09;195.26;162.61000000000001;146.55000000000001;164.05;133.72;110.38;90.78;74.739999999999995;56.45;57.65;62.34;60.7;73.06;93.98;116.52;111.5
55 - 59;38.71;23.26;15.73;8.89;7.57;5.34;3.95;3.52;2.11;1.99;2.76;3.01;2.2999999999999998;1.72;2.63;3.58;4.26;4.5599999999999996;4.84;6.37;5.25;5.83;8.25;11.31;12.84;16.46;27.76;44.5;85.45;133.15;150.94;152.94;152.02000000000001;146.66;153.83000000000001;193.8;222.88;183.74;164.58;183.01;149.02000000000001;123.83;104.27;86.28;66.94;68.37;71.989999999999995;68.91;84.78;108.01;134.94;131.6
50 - 54;38.94;23.23;14.8;9.02;7.75;5.6;3.74;3.59;2.2400000000000002;2.1800000000000002;4.72;3.99;2.77;2.58;3.1;4.38;5.22;6.21;7.05;8.35;8.02;8.23;9.98;13.37;14.83;17.97;33.83;53.31;95.66;145.66999999999999;163.36000000000001;164.06;161.51;154.16999999999999;157.4;197.64;222.45;178.7;156.88;180.13;146.05000000000001;121.99;99.62;79.09;64.260000000000005;67.3;70.77;73.8;88.06;112.19;139.59;134.09
45 - 49;36.35;22.26;14.96;8.89;8.5;6.26;4.8;4.0599999999999996;3.05;2.75;7.11;5.27;4.17;3.43;4.4000000000000004;6.33;7.3;8.65;10.9;13.18;11.42;11.64;13.14;16.59;17.010000000000002;22.76;38.65;59.32;110.21;158.99;179.75;176.28;183.6;171.83;175.28;210.57;235.98;184.51;162.4;185.65;151.06;122.69;100.6;85.14;67.47;71.61;76.97;81.489999999999995;98.68;123.68;155.38;149.54
40 - 44;34.200000000000003;20.86;14.22;9.2899999999999991;8.23;7.27;4.97;4.3;3.59;3.2;9.23;5.56;4.38;3.87;5.1100000000000003;6.54;8.74;9.9600000000000009;13.02;14.57;13.44;13.18;13.99;17.190000000000001;17.52;21.41;38.07;59.18;107.98;160.46;180.93;183.13;188.14;179.44;179.83;222.12;244.35;193.99;163.62;194.13;154.1;126.93;104.32;87.45;70.75;73.150000000000006;84.48;87.21;109;142.57;185.96;167.28
35 - 39;31.21;18.55;14.46;8.75;7.96;6.67;5.22;4.54;2.95;3.67;7.26;5.65;4.2699999999999996;3.86;4.75;6.77;7.24;9.74;12.16;14.35;13.52;12.27;13.25;17.05;19.04;21.8;34.520000000000003;58.7;102.04;152.82;169.36;173.81;174.07;164.71;172.73;208.03;231.21;180.12;153.03;191.62;151.57;119.85;98.46;84.57;68.12;70.599999999999994;79.16;86.76;109.03;144.35;179.18;166.53
30 - 34;31.86;21.93;16.54;10.23;8.8800000000000008;7.17;5.8;4.91;3.75;4.08;7.5;6.04;4.6900000000000004;4.71;5.42;6.97;7.7;9.3699999999999992;12.74;17.2;15.61;17.09;17.09;21.96;23.65;27.73;42.92;70.2;122.19;174.24;190.89;190.78;183.56;170.64;172.59;209.84;236.89;182.76;167.37;211.04;164.8;127.86;105.19;89.52;71.040000000000006;74.790000000000006;82.81;89.32;109.74;143.58000000000001;179.99;171.1
25 - 29;38.11;25.52;19.63;13.42;10.29;7.72;6.82;6.23;4.3899999999999997;4.79;7.71;6.42;6.21;4.47;6.07;8.06;10.050000000000001;11.96;16.510000000000002;23.55;24.06;22.82;24.24;29.22;28.36;34.409999999999997;52.95;88.3;144.16999999999999;203.71;219.81;210.84;195.78;177.5;180.29;212.85;238.74;185.97;165.99;212.89;168.27;126.14;105.47;88.44;72.13;76.930000000000007;81.92;84.26;107.89;138.46;166.54;163.27000000000001
20 - 24;37.69;26.71;20.87;12.91;11;9.09;6.84;6.27;4.97;5.4;8.2200000000000006;5.64;5.6;5.14;6.51;8.1999999999999993;11.31;16.170000000000002;25.28;33.5;28.82;27.15;27.88;32.94;34.369999999999997;37.799999999999997;60.5;95.13;163.92;226.19;254.73;239.45;221.72;194.1;199.5;234.22;262.74;196.94;186.64;236.31;184.81;139.83000000000001;113.77;95.15;79.349999999999994;86.06;91.22;95.61;118.22;150.05000000000001;186.59;183.03
15 - 19;21.7;14.5;10.23;6.68;6.6;4.62;3.86;4.0599999999999996;4.0599999999999996;2.82;6.09;4.29;3.5;3.81;4.8499999999999996;6.27;9.24;13.76;18.84;22.34;21.17;19.55;21.1;26.4;26.53;33.74;52.47;75.17;123.35;182.62;213.49;221.03;208.29;189.33;196.15;224.31;215.02;149.19;125.79;161.99;137.26;106.8;88.21;74.25;60.39;66.61;78.09;81.819999999999993;104.31;140.99;182.45;164.6
10 - 14;8.26;6.37;5.08;3.67;3.38;3.19;2.89;3.21;2.78;3.21;5.19;3.94;2.84;2.78;4;5.16;6.78;9.83;14.69;15.58;13.04;11.61;13.45;13.99;15.8;19.149999999999999;30.84;44.61;73.97;110.35;128.84;144.08000000000001;143.21;140.16;139.35;153.77000000000001;142.78;91.25;71.510000000000005;89.82;73.56;59.98;50.72;46.61;38.130000000000003;42.64;50.91;62.44;77.59;112.51;154.80000000000001;129.44
5 - 9 ;6.36;4.37;4.1100000000000003;3.22;2.82;2.98;2.15;3.03;2.66;3.3;4.72;3.7;3.3;3.09;3.65;4.05;5.31;7.65;10.95;10.199999999999999;9.4700000000000006;8.5299999999999994;8.7200000000000006;9.5299999999999994;10.41;11.59;16.82;26.11;49.16;74.91;90.23;96.97;105.13;102.36;98.79;114.52;115.67;81.19;52.03;64.23;59.16;51.01;44.11;42.98;37.299999999999997;41.67;53.88;73.3;98.58;127.83;179.53;137.62
